mean_cc,station_number,event1,time1,lon1,lat1,dep1,mag1,event2,time2,lon2,lat2,dep2,mag2,station,amp_ratio
0.889,6,350997,2011-10-12T12:21:02.080000Z,-120.38488,39.58171,33.459,0.66,351000,2011-10-12T12:53:09.111000Z,-120.38343,39.58113,33.362,0.5,"['BEK', 'GZY', 'LOY', 'PEA', 'SAT', 'SBT']","[1.783, 1.355, 2.358, 1.271, 2.167, 1.272]"
0.903,5,351000,2011-10-12T12:53:09.111000Z,-120.38343,39.58113,33.362,0.5,351847,2011-10-20T19:45:39.300000Z,-120.38616,39.58224,33.438,0.64,"['BEK', 'LOY', 'PEA', 'SAT', 'SBT']","[0.789, 0.611, 0.798, 0.896, 0.747]"
0.93,5,351036,2011-10-12T21:55:22.328000Z,-120.38065,39.58042,33.48,0.63,363453,2012-01-06T08:40:17.846000Z,-120.38152,39.57918,33.581,0.18,"['BEK', 'GZY', 'PEA', 'SAT', 'SBT']","[1.177, 1.54, 1.186, 1.076, 1.191]"
0.921,5,351076,2011-10-13T05:33:23.254000Z,-120.38027,39.57991,33.594,0.25,363453,2012-01-06T08:40:17.846000Z,-120.38152,39.57918,33.581,0.18,"['BEK', 'PEA', 'SAT', 'SBT', 'SRVL']","[0.568, 0.406, 0.453, 0.437, 0.442]"
0.87,6,351209,2011-10-14T14:05:19.094000Z,-120.38169,39.57652,33.44,0.55,351212,2011-10-14T14:16:28.384000Z,-120.3806,39.5771,33.363,1.88,"['BEK', 'EUR', 'IND', 'PEA', 'SAT', 'SBT']","[0.058, 0.068, 0.3, 0.055, 0.046, 0.071]"
0.888,8,351804,2011-10-19T06:58:22.724000Z,-120.38531,39.58621,33.559,0.38,351666,2011-10-19T10:49:57.999000Z,-120.3868,39.58551,33.583,0.89,"['BEK', 'GZY', 'KBF', 'LOY', 'MPK', 'PEA', 'SAT', 'SBT']","[0.318, 0.313, 0.548, 0.713, 0.33, 0.321, 0.263, 0.309]"
0.872,7,351666,2011-10-19T10:49:57.999000Z,-120.3868,39.58551,33.583,0.89,352219,2011-10-19T12:54:51.808000Z,-120.38573,39.58613,33.513,0.76,"['BEK', 'LOY', 'MPK', 'PEA', 'SAT', 'SBT', 'SRVL']","[1.547, 2.104, 1.764, 1.721, 0.549, 0.973, 1.596]"
0.884,8,351666,2011-10-19T10:49:57.999000Z,-120.3868,39.58551,33.583,0.89,351673,2011-10-19T13:27:56.187000Z,-120.38547,39.58629,33.539,0.94,"['BEK', 'GZY', 'KBF', 'MPK', 'PEA', 'SAT', 'SBT', 'SRVL']","[0.929, 1.132, 1.26, 1.048, 1.118, 0.416, 0.805, 1.318]"
0.878,11,351666,2011-10-19T10:49:57.999000Z,-120.3868,39.58551,33.583,0.89,351782,2011-10-20T10:42:35.308000Z,-120.38434,39.58499,33.512,0.86,"['BEK', 'EMB', 'GZY', 'KBF', 'LOY', 'MPK', 'PAH', 'PEA', 'SAT', 'SBT', 'SRVL']","[1.33, 1.139, 1.13, 1.003, 0.535, 1.24, 1.539, 1.209, 2.442, 1.247, 0.637]"
0.877,6,352219,2011-10-19T12:54:51.808000Z,-120.38573,39.58613,33.513,0.76,351838,2011-10-20T19:02:51.859000Z,-120.38598,39.58283,33.518,0.83,"['BEK', 'MPK', 'PEA', 'SAT', 'SBT', 'SRVL']","[0.738, 0.902, 0.705, 0.735, 0.675, 0.749]"
0.861,6,351673,2011-10-19T13:27:56.187000Z,-120.38547,39.58629,33.539,0.94,351728,2011-10-19T21:28:21.590000Z,-120.38615,39.58412,33.556,0.56,"['BEK', 'EUR', 'PEA', 'SAT', 'SBT', 'SRVL']","[2.325, 1.508, 2.252, 1.27, 1.444, 0.779]"
0.855,8,351673,2011-10-19T13:27:56.187000Z,-120.38547,39.58629,33.539,0.94,351838,2011-10-20T19:02:51.859000Z,-120.38598,39.58283,33.518,0.83,"['BEK', 'EUR', 'GZY', 'MPK', 'PEA', 'SAT', 'SBT', 'SRVL']","[1.229, 0.834, 1.003, 1.517, 1.085, 0.97, 0.815, 0.906]"
0.93,7,351686,2011-10-19T16:07:54.223000Z,-120.38771,39.58372,33.385,0.76,351688,2011-10-19T16:36:59.038000Z,-120.38668,39.58502,33.397,0.79,"['BEK', 'EUR', 'LOY', 'PEA', 'SAT', 'SBT', 'SRVL']","[1.192, 0.815, 0.963, 0.885, 0.814, 0.752, 0.89]"
0.885,6,351686,2011-10-19T16:07:54.223000Z,-120.38771,39.58372,33.385,0.76,351831,2011-10-20T18:41:56.412000Z,-120.38667,39.58549,33.472,1.1,"['BEK', 'EUR', 'PEA', 'SAT', 'SBT', 'SRVL']","[0.829, 0.479, 0.468, 0.518, 0.427, 0.611]"
0.899,5,351686,2011-10-19T16:07:54.223000Z,-120.38771,39.58372,33.385,0.76,351843,2011-10-20T19:29:30.907000Z,-120.38526,39.5832,33.331,0.4,"['BEK', 'PEA', 'SAT', 'SBT', 'SRVL']","[3.363, 2.209, 2.499, 2.256, 2.388]"
0.857,5,351688,2011-10-19T16:36:59.038000Z,-120.38668,39.58502,33.397,0.79,351694,2011-10-19T17:22:02.072000Z,-120.38723,39.58208,33.316,0.66,"['BEK', 'EUR', 'PEA', 'SAT', 'SBT']","[0.875, 1.922, 1.179, 2.117, 2.046]"
